district,date,month,year,visitors
Mulugu,"Friday, March 1, 2019",March,2019,156610
Mulugu,"Monday, April 1, 2019",April,2019,152570
Mulugu,"Wednesday, May 1, 2019",May,2019,154550
Mulugu,"Saturday, June 1, 2019",June,2019,163480
Mulugu,"Monday, July 1, 2019",July,2019,167700
Mulugu,"Thursday, August 1, 2019",August,2019,171050
Mulugu,"Sunday, September 1, 2019",September,2019,172900
Mulugu,"Tuesday, October 1, 2019",October,2019,172500
Mulugu,"Friday, November 1, 2019",November,2019,173700
Mulugu,"Sunday, December 1, 2019",December,2019,175100
Nagarkurnool ,"Tuesday, January 1, 2019",January,2019,228812
Nagarkurnool ,"Friday, February 1, 2019",February,2019,286258
Nagarkurnool ,"Friday, March 1, 2019",March,2019,184508
Nagarkurnool ,"Monday, April 1, 2019",April,2019,121460
Nagarkurnool ,"Wednesday, May 1, 2019",May,2019,184372
Nagarkurnool ,"Saturday, June 1, 2019",June,2019,184508
Nagarkurnool ,"Monday, July 1, 2019",July,2019,93450
Nagarkurnool ,"Thursday, August 1, 2019",August,2019,118010
Nagarkurnool ,"Sunday, September 1, 2019",September,2019,175712
Nagarkurnool ,"Tuesday, October 1, 2019",October,2019,196160
Nagarkurnool ,"Friday, November 1, 2019",November,2019,121425
Nagarkurnool ,"Sunday, December 1, 2019",December,2019,198637
Nalgonda,"Tuesday, January 1, 2019",January,2019,21284
Nalgonda,"Friday, February 1, 2019",February,2019,13697
Nalgonda,"Friday, March 1, 2019",March,2019,8467
Nalgonda,"Monday, April 1, 2019",April,2019,7202
Nalgonda,"Wednesday, May 1, 2019",May,2019,26338
Nalgonda,"Saturday, June 1, 2019",June,2019,5558
Nalgonda,"Monday, July 1, 2019",July,2019,19783
Nalgonda,"Thursday, August 1, 2019",August,2019,7473
Nalgonda,"Sunday, September 1, 2019",September,2019,5230
Nalgonda,"Tuesday, October 1, 2019",October,2019,5290
Nalgonda,"Friday, November 1, 2019",November,2019,7177
Nalgonda,"Sunday, December 1, 2019",December,2019,13419
Narayanapet,"Tuesday, January 1, 2019",January,2019,
Narayanapet,"Friday, February 1, 2019",February,2019,
Narayanapet,"Friday, March 1, 2019",March,2019,
Narayanapet,"Monday, April 1, 2019",April,2019,
Narayanapet,"Wednesday, May 1, 2019",May,2019,
Narayanapet,"Saturday, June 1, 2019",June,2019,
Narayanapet,"Monday, July 1, 2019",July,2019,68842
Narayanapet,"Thursday, August 1, 2019",August,2019,72249
Narayanapet,"Sunday, September 1, 2019",September,2019,62841
Narayanapet,"Tuesday, October 1, 2019",October,2019,58213
Narayanapet,"Friday, November 1, 2019",November,2019,62750
Narayanapet,"Sunday, December 1, 2019",December,2019,64355
Nirmal,"Tuesday, January 1, 2019",January,2019,313675
Nirmal,"Friday, February 1, 2019",February,2019,443898
Nirmal,"Friday, March 1, 2019",March,2019,424964
Nirmal,"Monday, April 1, 2019",April,2019,327971
Nirmal,"Wednesday, May 1, 2019",May,2019,149705
Nirmal,"Saturday, June 1, 2019",June,2019,349747
Nirmal,"Monday, July 1, 2019",July,2019,359495
Nirmal,"Thursday, August 1, 2019",August,2019,334646
Nirmal,"Sunday, September 1, 2019",September,2019,299827
Nirmal,"Tuesday, October 1, 2019",October,2019,263412
Nirmal,"Friday, November 1, 2019",November,2019,253388
Nirmal,"Sunday, December 1, 2019",December,2019,296050
Nizamabad,"Tuesday, January 1, 2019",January,2019,878
Nizamabad,"Friday, February 1, 2019",February,2019,915
Nizamabad,"Friday, March 1, 2019",March,2019,938
Nizamabad,"Monday, April 1, 2019",April,2019,958
Nizamabad,"Wednesday, May 1, 2019",May,2019,1193
Nizamabad,"Saturday, June 1, 2019",June,2019,686
Nizamabad,"Monday, July 1, 2019",July,2019,990
Nizamabad,"Thursday, August 1, 2019",August,2019,1004
Nizamabad,"Sunday, September 1, 2019",September,2019,6572
Nizamabad,"Tuesday, October 1, 2019",October,2019,8849
Nizamabad,"Friday, November 1, 2019",November,2019,11950
Nizamabad,"Sunday, December 1, 2019",December,2019,11400
Peddapalli,"Tuesday, January 1, 2019",January,2019,1055
Peddapalli,"Friday, February 1, 2019",February,2019,1157
Peddapalli,"Friday, March 1, 2019",March,2019,895
Peddapalli,"Monday, April 1, 2019",April,2019,942
Peddapalli,"Wednesday, May 1, 2019",May,2019,802
Peddapalli,"Saturday, June 1, 2019",June,2019,735
Peddapalli,"Monday, July 1, 2019",July,2019,1085
Peddapalli,"Thursday, August 1, 2019",August,2019,1505
Peddapalli,"Sunday, September 1, 2019",September,2019,1785
Peddapalli,"Tuesday, October 1, 2019",October,2019,2080
Peddapalli,"Friday, November 1, 2019",November,2019,2225
Peddapalli,"Sunday, December 1, 2019",December,2019,2315
Rajanna Sircilla ,"Tuesday, January 1, 2019",January,2019,6188298
Rajanna Sircilla ,"Friday, February 1, 2019",February,2019,1015550
Rajanna Sircilla ,"Friday, March 1, 2019",March,2019,1444971
Rajanna Sircilla ,"Monday, April 1, 2019",April,2019,1148062
Rajanna Sircilla ,"Wednesday, May 1, 2019",May,2019,1018131
Rajanna Sircilla ,"Saturday, June 1, 2019",June,2019,1128849
Rajanna Sircilla ,"Monday, July 1, 2019",July,2019,422961
Rajanna Sircilla ,"Thursday, August 1, 2019",August,2019,586118
Rajanna Sircilla ,"Sunday, September 1, 2019",September,2019,501293
Rajanna Sircilla ,"Tuesday, October 1, 2019",October,2019,646492
Rajanna Sircilla ,"Friday, November 1, 2019",November,2019,1259371
Rajanna Sircilla ,"Sunday, December 1, 2019",December,2019,1472801
Ranga Reddy,"Tuesday, January 1, 2019",January,2019, 
Ranga Reddy,"Friday, February 1, 2019",February,2019, 
Ranga Reddy,"Friday, March 1, 2019",March,2019, 
Ranga Reddy,"Monday, April 1, 2019",April,2019, 
Ranga Reddy,"Wednesday, May 1, 2019",May,2019, 
Ranga Reddy,"Saturday, June 1, 2019",June,2019, 
Ranga Reddy,"Monday, July 1, 2019",July,2019, 
Ranga Reddy,"Thursday, August 1, 2019",August,2019, 
Ranga Reddy,"Sunday, September 1, 2019",September,2019, 
Ranga Reddy,"Tuesday, October 1, 2019",October,2019, 
Ranga Reddy,"Friday, November 1, 2019",November,2019, 
Ranga Reddy,"Sunday, December 1, 2019",December,2019, 
Sangareddy ,"Tuesday, January 1, 2019",January,2019,144000
Sangareddy ,"Friday, February 1, 2019",February,2019,148000
Sangareddy ,"Friday, March 1, 2019",March,2019,747000
Sangareddy ,"Monday, April 1, 2019",April,2019,205000
Sangareddy ,"Wednesday, May 1, 2019",May,2019,133000
Sangareddy ,"Saturday, June 1, 2019",June,2019,347000
Sangareddy ,"Monday, July 1, 2019",July,2019,467000
Sangareddy ,"Thursday, August 1, 2019",August,2019,466150
Sangareddy ,"Sunday, September 1, 2019",September,2019,468350
Sangareddy ,"Tuesday, October 1, 2019",October,2019,467470
Sangareddy ,"Friday, November 1, 2019",November,2019,481720
Sangareddy ,"Sunday, December 1, 2019",December,2019,478470
Siddipet,"Tuesday, January 1, 2019",January,2019,140793
Siddipet,"Friday, February 1, 2019",February,2019,199549
Siddipet,"Friday, March 1, 2019",March,2019,204600
Siddipet,"Monday, April 1, 2019",April,2019,184412
Siddipet,"Wednesday, May 1, 2019",May,2019,110500
Siddipet,"Saturday, June 1, 2019",June,2019,1037000
Siddipet,"Monday, July 1, 2019",July,2019,179320
Siddipet,"Thursday, August 1, 2019",August,2019,190750
Siddipet,"Sunday, September 1, 2019",September,2019,122550
Siddipet,"Tuesday, October 1, 2019",October,2019,191330
Siddipet,"Friday, November 1, 2019",November,2019,209130
Siddipet,"Sunday, December 1, 2019",December,2019,217930
Suryapet,"Tuesday, January 1, 2019",January,2019,
Suryapet,"Friday, February 1, 2019",February,2019,
Suryapet,"Friday, March 1, 2019",March,2019,
Suryapet,"Monday, April 1, 2019",April,2019,
Suryapet,"Wednesday, May 1, 2019",May,2019,
Suryapet,"Saturday, June 1, 2019",June,2019,
Suryapet,"Monday, July 1, 2019",July,2019,
Suryapet,"Thursday, August 1, 2019",August,2019,
Suryapet,"Sunday, September 1, 2019",September,2019,
Suryapet,"Tuesday, October 1, 2019",October,2019,
Suryapet,"Friday, November 1, 2019",November,2019,
Suryapet,"Sunday, December 1, 2019",December,2019,
Vikarabad,"Tuesday, January 1, 2019",January,2019, 
Vikarabad,"Friday, February 1, 2019",February,2019, 
Vikarabad,"Friday, March 1, 2019",March,2019, 
Vikarabad,"Monday, April 1, 2019",April,2019, 
Vikarabad,"Wednesday, May 1, 2019",May,2019, 
Vikarabad,"Saturday, June 1, 2019",June,2019, 
Vikarabad,"Monday, July 1, 2019",July,2019, 
Vikarabad,"Thursday, August 1, 2019",August,2019, 
Vikarabad,"Sunday, September 1, 2019",September,2019, 
Vikarabad,"Tuesday, October 1, 2019",October,2019, 
Vikarabad,"Friday, November 1, 2019",November,2019, 
Vikarabad,"Sunday, December 1, 2019",December,2019, 
Wanaparthy ,"Tuesday, January 1, 2019",January,2019,28131
Wanaparthy ,"Friday, February 1, 2019",February,2019,22342
Wanaparthy ,"Friday, March 1, 2019",March,2019,20050
Wanaparthy ,"Monday, April 1, 2019",April,2019,23749
Wanaparthy ,"Wednesday, May 1, 2019",May,2019,20010
Wanaparthy ,"Saturday, June 1, 2019",June,2019,20050
Wanaparthy ,"Monday, July 1, 2019",July,2019,32625
Wanaparthy ,"Thursday, August 1, 2019",August,2019,35860
Wanaparthy ,"Sunday, September 1, 2019",September,2019,21375
Wanaparthy ,"Tuesday, October 1, 2019",October,2019,21234
Wanaparthy ,"Friday, November 1, 2019",November,2019,32657
