district,date,month,year,visitors
Sangareddy ,"Saturday, September 1, 2018",September,2018,0
Sangareddy ,"Monday, October 1, 2018",October,2018,0
Sangareddy ,"Thursday, November 1, 2018",November,2018,0
Sangareddy ,"Saturday, December 1, 2018",December,2018,0
Siddipet,"Monday, January 1, 2018",January,2018,0
Siddipet,"Thursday, February 1, 2018",February,2018,0
Siddipet,"Thursday, March 1, 2018",March,2018,0
Siddipet,"Sunday, April 1, 2018",April,2018,0
Siddipet,"Tuesday, May 1, 2018",May,2018,0
Siddipet,"Friday, June 1, 2018",June,2018,0
Siddipet,"Sunday, July 1, 2018",July,2018,0
Siddipet,"Wednesday, August 1, 2018",August,2018,0
Siddipet,"Saturday, September 1, 2018",September,2018,0
Siddipet,"Monday, October 1, 2018",October,2018,0
Siddipet,"Thursday, November 1, 2018",November,2018,0
Siddipet,"Saturday, December 1, 2018",December,2018,0
Suryapet,"Monday, January 1, 2018",January,2018,0
Suryapet,"Thursday, February 1, 2018",February,2018,0
Suryapet,"Thursday, March 1, 2018",March,2018,0
Suryapet,"Sunday, April 1, 2018",April,2018,0
Suryapet,"Tuesday, May 1, 2018",May,2018,0
Suryapet,"Friday, June 1, 2018",June,2018,0
Suryapet,"Sunday, July 1, 2018",July,2018,0
Suryapet,"Wednesday, August 1, 2018",August,2018,0
Suryapet,"Saturday, September 1, 2018",September,2018,0
Suryapet,"Monday, October 1, 2018",October,2018,0
Suryapet,"Thursday, November 1, 2018",November,2018,0
Suryapet,"Saturday, December 1, 2018",December,2018,0
Vikarabad,"Monday, January 1, 2018",January,2018, 
Vikarabad,"Thursday, February 1, 2018",February,2018, 
Vikarabad,"Thursday, March 1, 2018",March,2018, 
Vikarabad,"Sunday, April 1, 2018",April,2018, 
Vikarabad,"Tuesday, May 1, 2018",May,2018, 
Vikarabad,"Friday, June 1, 2018",June,2018, 
Vikarabad,"Sunday, July 1, 2018",July,2018, 
Vikarabad,"Wednesday, August 1, 2018",August,2018, 
Vikarabad,"Saturday, September 1, 2018",September,2018, 
Vikarabad,"Monday, October 1, 2018",October,2018, 
Vikarabad,"Thursday, November 1, 2018",November,2018, 
Vikarabad,"Saturday, December 1, 2018",December,2018, 
Wanaparthy ,"Monday, January 1, 2018",January,2018,0
Wanaparthy ,"Thursday, February 1, 2018",February,2018,0
Wanaparthy ,"Thursday, March 1, 2018",March,2018,0
Wanaparthy ,"Sunday, April 1, 2018",April,2018,0
Wanaparthy ,"Tuesday, May 1, 2018",May,2018,0
Wanaparthy ,"Friday, June 1, 2018",June,2018,0
Wanaparthy ,"Sunday, July 1, 2018",July,2018,0
Wanaparthy ,"Wednesday, August 1, 2018",August,2018,0
Wanaparthy ,"Saturday, September 1, 2018",September,2018,0
Wanaparthy ,"Monday, October 1, 2018",October,2018,0
Wanaparthy ,"Thursday, November 1, 2018",November,2018,0
Wanaparthy ,"Saturday, December 1, 2018",December,2018,0
Warangal (Rural),"Monday, January 1, 2018",January,2018,0
Warangal (Rural),"Thursday, February 1, 2018",February,2018,0
Warangal (Rural),"Thursday, March 1, 2018",March,2018,0
Warangal (Rural),"Sunday, April 1, 2018",April,2018,0
Warangal (Rural),"Tuesday, May 1, 2018",May,2018,0
Warangal (Rural),"Friday, June 1, 2018",June,2018,0
Warangal (Rural),"Sunday, July 1, 2018",July,2018,0
Warangal (Rural),"Wednesday, August 1, 2018",August,2018,0
Warangal (Rural),"Saturday, September 1, 2018",September,2018,0
Warangal (Rural),"Monday, October 1, 2018",October,2018,0
Warangal (Rural),"Thursday, November 1, 2018",November,2018,0
Warangal (Rural),"Saturday, December 1, 2018",December,2018,0
Warangal (Urban),"Monday, January 1, 2018",January,2018,150
Warangal (Urban),"Thursday, February 1, 2018",February,2018,185
Warangal (Urban),"Thursday, March 1, 2018",March,2018,160
Warangal (Urban),"Sunday, April 1, 2018",April,2018,150
Warangal (Urban),"Tuesday, May 1, 2018",May,2018,140
Warangal (Urban),"Friday, June 1, 2018",June,2018,130
Warangal (Urban),"Sunday, July 1, 2018",July,2018,130
Warangal (Urban),"Wednesday, August 1, 2018",August,2018,135
Warangal (Urban),"Saturday, September 1, 2018",September,2018,145
Warangal (Urban),"Monday, October 1, 2018",October,2018,160
Warangal (Urban),"Thursday, November 1, 2018",November,2018,170
Warangal (Urban),"Saturday, December 1, 2018",December,2018,187
Yadadri Bhongir,"Monday, January 1, 2018",January,2018,0
Yadadri Bhongir,"Thursday, February 1, 2018",February,2018,0
Yadadri Bhongir,"Thursday, March 1, 2018",March,2018,0
Yadadri Bhongir,"Sunday, April 1, 2018",April,2018,0
Yadadri Bhongir,"Tuesday, May 1, 2018",May,2018,0
Yadadri Bhongir,"Friday, June 1, 2018",June,2018,0
Yadadri Bhongir,"Sunday, July 1, 2018",July,2018,0
Yadadri Bhongir,"Wednesday, August 1, 2018",August,2018,0
Yadadri Bhongir,"Saturday, September 1, 2018",September,2018,0
Yadadri Bhongir,"Monday, October 1, 2018",October,2018,0
Yadadri Bhongir,"Thursday, November 1, 2018",November,2018,0
Yadadri Bhongir,"Saturday, December 1, 2018",December,2018,0
